nombre,cve_ent,abbrev
AGUASCALIENTES,01,AGS
BAJA CALIFORNIA,02,BC
BAJA CALIFORNIA SUR,03,BCS
CAMPECHE,04,CAMP
COAHUILA,05,COAH
COLIMA,06,COL
CHIAPAS,07,CHIS
CHIHUAHUA,08,CHIH
CIUDAD DE MEXICO,09,CDMX
DURANGO,10,DGO
GUANAJUATO,11,GTO
GUERRERO,12,GRO
HIDALGO,13,HGO
JALISCO,14,JAL
MEXICO,15,MEX
MICHOACAN,16,MICH
MORELOS,17,MOR
NAYARIT,18,NAY
NUEVO LEON,19,NL
OAXACA,20,OAX
PUEBLA,21,PUE
QUERETARO,22,QRO
QUINTANA ROO,23,QROO
SAN LUIS POTOSI,24,SLP
SINALOA,25,SIN
SONORA,26,SON
TABASCO,27,TAB
TAMAULIPAS,28,TAMP
TLAXCALA,29,TLAX
VERACRUZ,30,VER
YUCATAN,31,YUC
ZACATECAS,32,ZAC